    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   14   16        20   18        0.12671        241.152        241.762          -10.026           -9.830         0.14142E+00    0.14142E+00    0
   15   17        21   19        0.08264        235.650        236.040          -10.058          -10.007         0.14142E+00    0.14142E+00    0
   16   18        22   20        0.03780        231.930        232.101          -10.076          -10.246         0.14142E+00    0.14142E+00    0
   17   19        23   21        0.02559        222.413        222.457          -10.104          -10.575         0.14142E+00    0.14142E+00    0
   18   20        24   22        0.07692        213.420        213.131          -10.140          -10.884         0.14142E+00    0.14142E+00    0
    1    3         9    7        0.18317        254.377        253.451           -9.980          -10.349         0.14142E+00    0.14142E+00    0
    2    4        10    8        0.14288        251.177        250.465          -10.001          -10.359         0.14142E+00    0.14142E+00    0
    3    5        11    9        0.09327        247.446        246.989          -10.026          -10.300         0.14142E+00    0.14142E+00    0
    4    6        12   10        0.07360        243.505        243.149          -10.053          -10.228         0.14142E+00    0.14142E+00    0
    5    7        13   11        0.15068        239.501        238.780          -10.073          -10.187         0.14142E+00    0.14142E+00    0
    6    8        14   12        0.14231        236.393        235.721          -10.076          -10.143         0.14142E+00    0.14142E+00    0
    7    9        15   13        0.08298        233.083        232.697          -10.069          -10.096         0.14142E+00    0.14142E+00    0
    8   10        16   14        0.06977        230.013        230.334          -10.070          -10.072         0.14142E+00    0.14142E+00    0
    9   11        17   15        0.21095        222.888        223.831          -10.097          -10.114         0.14142E+00    0.14142E+00    0
   10   12        18   16        0.32747        211.456        212.846          -10.146          -10.213         0.14142E+00    0.14142E+00    0
   11   13        19   17        0.36488        203.076        204.563          -10.197          -10.311         0.14142E+00    0.14142E+00    0
   12   14        20   18        0.37898        192.666        194.132          -10.262          -10.422         0.14142E+00    0.14142E+00    0
   13   15        21   19        0.38188        180.986        182.373          -10.338          -10.576         0.14142E+00    0.14142E+00    0
   14   16        22   20        0.30921        166.320        167.349          -10.433          -10.796         0.14142E+00    0.14142E+00    0
   15   17        23   21        0.14630        151.077        151.512          -10.557          -11.056         0.14142E+00    0.14142E+00    0
   16   18        24   22        0.03764        136.291        136.225          -10.688          -11.266         0.14142E+00    0.14142E+00    0
    1    3        11    9        0.33077        233.640        232.100          -10.231          -10.521         0.14142E+00    0.14142E+00    0
    2    4        12   10        0.32089        224.387        222.932          -10.301          -10.627         0.14142E+00    0.14245E+00    1
    3    5        13   11        0.33558        215.383        213.943          -10.361          -10.680         0.14142E+00    0.14142E+00    0
    4    6        14   12        0.27705        206.652        205.511          -10.398          -10.677         0.14142E+00    0.14142E+00    0
    5    7        15   13        0.11667        197.762        197.303          -10.415          -10.654         0.14142E+00    0.14142E+00    0
    6    8        16   14        0.15622        188.887        189.476          -10.431          -10.653         0.14142E+00    0.14142E+00    0
    7    9        17   15        0.50371        178.244        180.048          -10.468          -10.705         0.14142E+00    0.14142E+00    0
    8   10        18   16        0.88264        165.445        168.427          -10.530          -10.789         0.14142E+00    0.14228E+00    1
    9   11        19   17        1.06105        152.709        156.661          -10.608          -10.903         0.14142E+00    0.15519E+00    1
   10   12        20   18        1.21372        137.924        142.387          -10.735          -11.089         0.14142E+00    0.16200E+00    1
   11   13        21   19        1.27244        123.098        127.364          -10.895          -11.320         0.14142E+00    0.16366E+00    1
   12   14        22   20        1.20399        108.787        112.180          -11.080          -11.563         0.14142E+00    0.15974E+00    1
   13   15        23   21        1.21507         94.500         96.849          -11.324          -11.822         0.14142E+00    0.14218E+00    1
   14   16        24   22        0.94160         80.065         81.587          -11.644          -12.022         0.14142E+00    0.14142E+00    0
    1    3        13   11        0.23693        190.755        189.660          -10.809          -10.951         0.14142E+00    0.15589E+00    1
    2    4        14   12        0.17694        178.378        177.620          -10.914          -11.155         0.14142E+00    0.15521E+00    1
    3    5        15   13        0.07903        166.294        166.565          -10.998          -11.252         0.14142E+00    0.14447E+00    1
    4    6        16   14        0.51631        153.929        155.526          -11.078          -11.310         0.14142E+00    0.14142E+00    0
    5    7        17   15        1.07317        140.569        143.618          -11.173          -11.396         0.14142E+00    0.14142E+00    0
    6    8        18   16        1.58566        126.160        130.762          -11.290          -11.508         0.14142E+00    0.15033E+00    1
    7    9        19   17        1.81760        113.125        118.987          -11.412          -11.633         0.14142E+00    0.16672E+00    1
    8   10        20   18        1.85206         99.608        106.185          -11.585          -11.812         0.14142E+00    0.18581E+00    1
