    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   50   30        52   36        1.63475         10.395         11.738           -2.593           -2.673         0.22361E+00    0.27262E+00    1
   43   23        52   37        0.26548          7.136          7.231           -3.590           -3.434         0.22361E+00    0.22361E+00    0
   45   24        52   37        0.66873          4.565          4.724           -3.459           -3.396         0.22361E+00    0.22636E+00    1
   46   26        52   37        0.08656          5.056          5.078           -3.105           -3.182         0.22361E+00    0.22361E+00    0
   47   28        52   37        0.35517          5.612          5.712           -3.028           -3.019         0.22361E+00    0.22361E+00    0
   49   29        52   37        0.30924          3.397          3.459           -3.106           -3.386         0.22361E+00    0.24164E+00    1
   50   30        52   37        1.77404          9.867         11.369           -2.623           -2.689         0.22361E+00    0.28264E+00    1
   43   23        52   38        0.25352          6.870          6.783           -3.668           -3.574         0.22361E+00    0.22361E+00    0
   45   24        52   38        1.84085          4.869          4.269           -3.558           -3.543         0.22361E+00    0.26736E+00    1
   46   26        52   38        1.43969          4.089          4.470           -3.160           -3.323         0.22361E+00    0.24878E+00    1
   47   28        52   38        0.13808          4.868          4.835           -3.123           -3.166         0.22361E+00    0.22361E+00    0
   49   29        52   38        0.03821          2.808          2.802           -3.323           -3.652         0.22361E+00    0.24976E+00    1
   50   30        52   38        1.62896          9.799         11.085           -2.674           -2.703         0.22361E+00    0.27507E+00    1
   43   23        52   39        0.39690          6.252          6.386           -3.669           -3.720         0.22361E+00    0.23131E+00    1
   45   24        52   39        0.60854          4.004          3.882           -3.649           -3.698         0.22361E+00    0.22474E+00    1
   46   26        52   39        1.51515          4.314          3.951           -3.406           -3.482         0.22361E+00    0.24097E+00    1
   47   28        52   39        1.05869          3.848          4.087           -3.249           -3.344         0.22361E+00    0.23861E+00    1
   49   29        52   39        0.89118          2.136          2.277           -3.555           -3.979         0.22361E+00    0.26789E+00    1
   50   30        52   39        1.68350          9.526         10.864           -2.664           -2.714         0.22361E+00    0.27940E+00    1
   45   24        52   42        1.41706          2.241          2.513           -4.863           -4.707         0.22361E+00    0.28437E+00    1
   50   30        52   42        1.87617          8.635         10.150           -2.669           -2.758         0.22361E+00    0.29359E+00    1
   43   23        53   26        0.95395         15.473         16.229           -2.540           -2.570         0.22361E+00    0.22361E+00    0
   45   24        53   26        0.21948         17.210         17.022           -2.530           -2.556         0.22361E+00    0.22361E+00    0
   43   23        53   28        0.81100         14.166         13.603           -2.549           -2.606         0.22361E+00    0.22361E+00    0
   45   24        53   28        0.69557         13.356         13.829           -2.553           -2.594         0.22361E+00    0.22361E+00    0
   46   26        53   28        0.26179         16.153         16.366           -2.557           -2.545         0.22361E+00    0.22361E+00    0
   43   23        53   29        0.52905         12.952         12.614           -2.643           -2.627         0.22361E+00    0.22361E+00    0
   45   24        53   29        0.74128         12.052         12.507           -2.554           -2.612         0.22361E+00    0.22361E+00    0
   46   26        53   29        1.37902         15.829         14.639           -2.506           -2.555         0.22361E+00    0.23814E+00    1
   43   23        53   30        1.51107         10.892         11.949           -2.671           -2.667         0.22361E+00    0.24752E+00    1
   45   24        53   30        0.26930         11.614         11.459           -2.616           -2.649         0.22361E+00    0.22361E+00    0
   46   26        53   30        1.24612         14.168         13.306           -2.606           -2.583         0.22361E+00    0.22452E+00    1
