    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   25   21         5    9        0.67168        132.400        129.759           -9.700          -10.337         0.17321E+00    0.17321E+00    0
   25   21         6   10        0.48014        140.857        138.846           -8.000           -8.977         0.17321E+00    0.17321E+00    0
   26   22         5    9        0.60139         84.183         82.678          -12.500          -12.329         0.17321E+00    0.17321E+00    0
   26   22         6   10        0.57571         90.472         88.924          -10.100          -10.959         0.17321E+00    0.17321E+00    0
   27   23         5    9        0.41938         96.698         95.489          -12.700          -12.662         0.17321E+00    0.17321E+00    0
   27   23         6   10        0.28325        104.405        103.524          -10.600          -11.292         0.17321E+00    0.17321E+00    0
   28   24         5    9        0.45355        100.247         98.892          -12.300          -12.523         0.17321E+00    0.17321E+00    0
   28   24         6   10        0.33939        109.076        107.981           -9.700          -11.155         0.17321E+00    0.17321E+00    0
   28   24        51   55        0.78723        115.463        112.678           -7.200           -7.496         0.17321E+00    0.17611E+00    1
   29   25         5    9        0.32407         96.845         95.910          -11.200          -11.979         0.17321E+00    0.17321E+00    0
   29   25         6   10        0.45783        103.937        105.372           -9.900          -10.611         0.17321E+00    0.17321E+00    0
   30   26         5    9        0.86110         95.492         93.057          -11.100          -11.044         0.17321E+00    0.17321E+00    0
   30   26         6   10        0.70511        104.932        102.741           -8.000           -9.674         0.17321E+00    0.17321E+00    0
   31   27         5    9        1.01144         94.285         91.467           -9.300          -10.089         0.17321E+00    0.17321E+00    0
   31   27         6   10        1.00180        104.462        101.369           -8.700           -8.715         0.17321E+00    0.17321E+00    0
   32   28         5    9        0.98708         99.149         95.736           -9.800           -9.266         0.17321E+00    0.18841E+00    1
   32   28         6   10        1.27603        111.535        106.434           -6.800           -7.888         0.17321E+00    0.19155E+00    1
   50   54         5    9        0.08020        418.044        417.381          -11.100          -13.254         0.17321E+00    0.18212E+00    1
   54   50        56   60        1.17351        208.129        200.982          -15.300          -11.479         0.17321E+00    0.17321E+00    0
   50   54        51   55        0.44921        251.330        247.969          -12.400          -11.915         0.17321E+00    0.17321E+00    0
   51   55         5    9        0.33497        608.990        601.118          -12.300          -12.551         0.17321E+00    0.19708E+00    1
   55   51        57   61        0.29734        208.686        206.854          -11.700          -10.435         0.17321E+00    0.17321E+00    0
   52   56         5    9        0.33692        703.578        694.018          -12.500          -12.328         0.17321E+00    0.20153E+00    1
   52   56         6   10        0.30367        826.372        816.032          -10.900          -10.932         0.17321E+00    0.20362E+00    1
   52   56        54   58        0.48079        181.389        183.941           -8.600          -12.049         0.17321E+00    0.17321E+00    0
   52   56        51   55        0.07302        173.259        173.629          -12.700          -12.186         0.17321E+00    0.17321E+00    0
   53   57         5    9        0.41834        646.297        635.429          -13.800          -12.135         0.17321E+00    0.20195E+00    1
   53   57         6   10        0.39989        739.821        727.697          -12.300          -10.738         0.17321E+00    0.20384E+00    1
   57   53        50   54        0.09616        414.382        415.360           -9.100          -10.738         0.17321E+00    0.17321E+00    0
