    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    1    4        10    7        0.96071         37.647         38.561          -12.725          -12.786         0.14142E+00    0.15800E+00    1
    2    5        11    8        0.17648         37.627         37.808          -12.723          -12.750         0.14142E+00    0.16476E+00    1
    3    6        12    9        0.54688         39.529         38.922          -12.985          -12.958         0.14142E+00    0.16823E+00    1
    4    7        13   10        0.52852         51.910         51.308          -13.799          -13.790         0.14142E+00    0.14849E+00    1
    5    8        14   11        0.00194         78.262         78.264          -14.675          -14.693         0.14142E+00    0.14142E+00    0
    6    9        15   12        0.06119         98.717         98.838          -15.027          -15.029         0.14142E+00    0.14142E+00    0
    7   10        16   13        0.14598        107.135        106.822          -15.129          -15.117         0.14142E+00    0.14142E+00    0
    8   11        17   14        0.18641        106.668        106.272          -15.115          -15.096         0.14142E+00    0.14142E+00    0
    9   12        18   15        0.15766        103.857        103.530          -15.075          -15.058         0.14142E+00    0.14142E+00    0
   10   13        19   16        0.12853        102.114        101.852          -15.055          -15.043         0.14142E+00    0.14142E+00    0
   11   14        20   17        0.05647        101.132        101.017          -15.050          -15.047         0.14142E+00    0.14142E+00    0
   12   15        21   18        0.00681        100.532        100.546          -15.051          -15.054         0.14142E+00    0.14142E+00    0
   13   16        22   19        0.04634        100.274        100.181          -15.054          -15.056         0.14142E+00    0.14142E+00    0
   14   17        23   20        0.03929        100.107        100.028          -15.052          -15.058         0.14142E+00    0.14142E+00    0
   15   18        24   21        0.00178        100.023        100.026          -15.046          -15.059         0.14142E+00    0.14142E+00    0
    1    4        13   10        0.61351         54.391         53.575          -13.009          -12.998         0.14142E+00    0.15696E+00    1
    2    5        14   11        0.18948         46.964         46.737          -12.880          -12.884         0.14142E+00    0.15982E+00    1
    3    6        15   12        0.24453         40.168         40.432          -12.790          -12.822         0.14142E+00    0.16349E+00    1
